X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Agua	Comment	J Ar corrigido	Alpha	rho_g	dP_F/dz PDT-M-0101-40kPa	dP_F/dz dP_dz_total_PDT-M-0101-40kPa	dP_F/dz dP_dz_gravitacional	dP_F/dz PDT-M-0101C-3kPa	dP_F/dz dP_dz_total_PDT-M-0101C-3kPa
801.400000	7.840602	7.871595	0.370696	0.161469	0.621630	-236.982678	2771.226533	-136.640565	8.419270	20.593407	30.201136	28.747785	30.999752	29.234757	30.414260	-2.905938	1.485384	0.841490	190663.551316	-0.188359	0.003214	0.525825	0.532577	2.040852	-0.124385	-0.124393	0.000000	1.565907	0.473173	0.200858	nan	0.441589	0.450282	1.570578	-139.401575	156.751306	0.000000	-80.376803	83.815898
801.600000	7.840551	7.871567	0.376156	0.161261	0.624839	-250.195212	2771.352459	-98.419159	8.421792	20.616129	30.201843	28.748665	30.988508	29.240011	30.415629	-2.906090	1.484675	0.841909	190385.525037	-0.187472	0.003465	0.504653	0.532240	2.041271	-0.124383	-0.124393	0.000000	1.566894	0.470977	0.200985	nan	0.439539	0.447442	1.576895	-147.173654	156.751306	0.000000	-57.893623	83.815898
801.800000	7.840545	7.871335	0.379097	0.161943	0.630025	-266.100247	2771.459032	-66.960741	8.424191	20.618046	30.202540	28.750998	30.977924	29.247447	30.411547	-2.906274	1.484160	0.842266	190709.436154	-0.184344	0.003538	0.504641	0.532131	2.041734	-0.124380	-0.124394	0.000000	1.566977	0.469843	0.200995	nan	0.438481	0.450751	1.580321	-156.529557	156.751306	0.000000	-39.388671	83.815898
802.000000	7.840431	7.871423	0.377924	0.162937	0.637458	-265.268689	2771.566606	-45.327004	8.426431	20.616868	30.200311	28.754302	30.970844	29.249635	30.404571	-2.906217	1.484553	0.842416	191929.889823	-0.185582	0.003439	0.520389	0.532079	2.042351	-0.124385	-0.124394	0.000000	1.566926	0.470186	0.200989	nan	0.438801	0.463167	1.579013	-156.040405	156.751306	0.000000	-26.662944	83.815898
802.200000	7.840023	7.871621	0.374879	0.163283	0.652971	-247.207209	2771.605431	-31.578489	8.428675	20.610602	30.194109	28.755098	30.969223	29.245189	30.401407	-2.906093	1.484595	0.841974	193169.605186	-0.189404	0.003304	0.555698	0.532110	2.042591	-0.124398	-0.124393	0.000000	1.566654	0.471261	0.200954	nan	0.439804	0.475700	1.575531	-145.416005	156.751306	0.000000	-18.575582	83.815898
802.400000	7.839888	7.871423	0.374016	0.162677	0.665279	-228.742739	2771.472572	-22.597315	8.431195	20.622635	30.187050	28.750333	30.965776	29.236734	30.401517	-2.906016	1.484131	0.841005	194149.231885	-0.189185	0.003225	0.582730	0.532254	2.041882	-0.124404	-0.124390	0.000000	1.567176	0.471677	0.201021	nan	0.440193	0.485546	1.574560	-134.554552	156.751306	0.000000	-13.292538	83.815898
802.600000	7.839963	7.871255	0.378253	0.161731	0.671329	-225.305165	2771.431006	-16.335298	8.433716	20.660974	30.183814	28.746214	30.958915	29.230683	30.403818	-2.905905	1.484579	0.840578	195128.362194	-0.185664	0.003246	0.608732	0.532459	2.041076	-0.124399	-0.124384	0.000000	1.568841	0.470394	0.201234	nan	0.438995	0.495338	1.579453	-132.532450	156.751306	0.000000	-9.608999	83.815898
802.800000	7.839800	7.871332	0.386409	0.161471	0.679324	-248.699537	2771.514949	-11.843062	8.436241	20.682116	30.186446	28.747032	30.951719	29.230133	30.407702	-2.905831	1.484716	0.840928	196037.418654	-0.185198	0.003221	0.658000	0.532385	2.041231	-0.124392	-0.124381	0.000000	1.569758	0.467553	0.201352	nan	0.436344	0.504385	1.588840	-146.293845	156.751306	0.000000	-6.966507	83.815898
803.000000	7.839679	7.871282	0.394089	0.161703	0.682803	-285.700066	2771.583508	-7.937245	8.438960	20.676705	30.189746	28.749111	30.942358	29.231694	30.412188	-2.906001	1.483893	0.841237	197026.000330	-0.188276	0.003125	0.706673	0.531474	2.041891	-0.124390	-0.124385	0.000000	1.569523	0.464160	0.201322	nan	0.433177	0.514176	1.597694	-168.058862	156.751306	0.000000	-4.668968	83.815898
803.200000	7.839741	7.871003	0.400051	0.161705	0.684278	-308.009396	2771.562085	-2.519501	8.441389	20.668141	30.189460	28.749953	30.930784	29.232035	30.416273	-2.906047	1.484199	0.841160	197922.231572	-0.190830	0.002996	0.673427	0.529884	2.042183	-0.124392	-0.124387	0.000000	1.569152	0.460766	0.201274	nan	0.430010	0.523010	1.604591	-181.181998	156.751306	0.000000	-1.482059	83.815898
803.400000	7.839842	7.870796	0.405246	0.161400	0.691113	-312.307227	2771.428600	5.774450	8.443605	20.662234	30.186200	28.749625	30.925190	29.230764	30.419771	-2.905678	1.484745	0.841081	198654.315182	-0.191354	0.002905	0.566492	0.528695	2.041970	-0.124394	-0.124384	0.000000	1.568895	0.458014	0.201242	nan	0.427442	0.530196	1.610577	-183.710134	156.751306	0.000000	3.396735	83.815898
803.600000	7.839974	7.870588	0.408747	0.161029	0.694732	-306.068619	2771.339205	16.666954	8.446197	20.664091	30.182062	28.747800	30.926866	29.229074	30.423795	-2.905570	1.484324	0.841347	199359.602887	-0.188643	0.003042	0.492370	0.528438	2.041316	-0.124393	-0.124383	0.000000	1.568976	0.456648	0.201252	nan	0.426167	0.537095	1.614582	-180.040364	156.751306	0.000000	9.804091	83.815898
803.800000	7.840059	7.870112	0.410208	0.160909	0.695028	-289.588029	2771.401001	28.516224	8.449143	20.676822	30.184323	28.746188	30.921554	29.229345	30.423926	-2.905862	1.484424	0.842142	199942.425079	-0.185215	0.003222	0.480044	0.528868	2.040753	-0.124391	-0.124384	0.000000	1.569528	0.456516	0.201323	nan	0.426044	0.542777	1.616286	-170.345899	156.751306	0.000000	16.774249	83.815898
804.000000	7.839714	7.869754	0.410852	0.161171	0.698310	-267.624635	2771.591912	39.492988	8.451846	20.692858	30.195268	28.747656	30.905486	29.232144	30.417379	-2.906049	1.485033	0.842720	200478.831988	-0.186506	0.003167	0.536704	0.530015	2.041008	-0.124390	-0.124385	0.000000	1.570224	0.457252	0.201412	nan	0.426730	0.547992	1.617110	-157.426256	156.751306	0.000000	23.231169	83.815898
804.200000	7.839176	7.869679	0.411475	0.161669	0.699250	-244.632704	2771.790499	48.666440	8.454180	20.703671	30.205826	28.751077	30.891328	29.236504	30.409990	-2.906037	1.485145	0.842352	200920.574892	-0.189376	0.002959	0.625272	0.531640	2.041485	-0.124387	-0.124386	0.000000	1.570692	0.458421	0.201472	nan	0.427821	0.552276	1.617900	-143.901591	156.751306	0.000000	28.627318	83.815898
804.400000	7.838982	7.869783	0.413767	0.162301	0.698607	-226.927419	2771.851089	55.421206	8.456658	20.701474	30.207384	28.751973	30.890339	29.240190	30.404980	-2.906014	1.485354	0.841722	201312.914001	-0.187870	0.002824	0.647717	0.532980	2.041558	-0.124384	-0.124389	0.000000	1.570597	0.458833	0.201460	nan	0.428206	0.556074	1.620533	-133.486717	156.751306	0.000000	32.600709	83.815898
804.600000	7.838933	7.869962	0.418832	0.162774	0.703752	-225.851341	2771.777791	59.705616	8.459381	20.680410	30.202863	28.750377	30.893843	29.240861	30.404303	-2.906052	1.485997	0.841474	201767.659328	-0.185253	0.002976	0.587879	0.533649	2.041399	-0.124385	-0.124391	0.000000	1.569684	0.457785	0.201343	nan	0.427228	0.560465	1.626322	-132.853730	156.751306	0.000000	35.120951	83.815898
804.800000	7.838579	7.869893	0.423965	0.162736	0.706599	-239.504647	2771.657232	62.010193	8.461871	20.639296	30.199365	28.750149	30.892561	29.239872	30.407416	-2.905973	1.485784	0.841422	202023.518378	-0.186682	0.003067	0.516818	0.534074	2.041488	-0.124390	-0.124392	0.000000	1.567900	0.456493	0.201114	nan	0.426022	0.562932	1.632215	-140.885086	156.751306	0.000000	36.476584	83.815898
805.000000	7.838220	7.869657	0.426495	0.162171	0.705315	-249.913985	2771.646653	63.114482	8.464112	20.604808	30.199077	28.750154	30.892714	29.241706	30.406633	-2.905895	1.485186	0.841541	202021.504551	-0.189233	0.002883	0.505884	0.534839	2.041962	-0.124391	-0.124392	0.000000	1.566402	0.456324	0.200922	nan	0.425864	0.562913	1.635115	-147.008226	156.751306	0.000000	37.126166	83.815898
805.200000	7.838034	7.869449	0.427709	0.162314	0.709678	-242.165874	2771.689969	64.685468	8.466737	20.601332	30.201626	28.748303	30.894114	29.244703	30.399520	-2.905969	1.485537	0.841900	202049.236213	-0.187865	0.002882	0.549502	0.535443	2.042384	-0.124388	-0.124391	0.000000	1.566251	0.456444	0.200902	nan	0.425976	0.563180	1.636500	-142.450514	156.751306	0.000000	38.050275	83.815898
805.400000	7.837716	7.869261	0.430302	0.163301	0.712960	-226.226227	2771.670270	67.820924	8.469359	20.610628	30.201668	28.747870	30.894792	29.242735	30.394349	-2.906001	1.485752	0.842345	202301.195950	-0.184729	0.003115	0.609815	0.535001	2.042619	-0.124390	-0.124391	0.000000	1.566655	0.455233	0.200954	nan	0.424846	0.565606	1.639470	-133.074251	156.751306	0.000000	39.894661	83.815898
805.600000	7.837460	7.869160	0.432966	0.163115	0.714090	-217.619130	2771.601597	71.093443	8.471568	20.610675	30.196499	28.750022	30.895899	29.236256	30.397798	-2.905985	1.485206	0.842632	202662.838537	-0.185257	0.003241	0.656388	0.533944	2.042732	-0.124397	-0.124390	0.000000	1.566657	0.453481	0.200954	nan	0.423211	0.569082	1.642518	-128.011253	156.751306	0.000000	41.819672	83.815898
805.800000	7.837338	7.869262	0.433869	0.161693	0.721012	-207.534656	2771.489066	72.594700	8.473890	20.589147	30.190626	28.751262	30.898810	29.229722	30.406064	-2.905907	1.484593	0.842533	202950.987161	-0.189197	0.003087	0.655877	0.533003	2.041936	-0.124399	-0.124386	0.000000	1.565722	0.452405	0.200834	nan	0.422207	0.571848	1.643538	-122.079209	156.751306	0.000000	42.702765	83.815898
806.000000	7.837456	7.869224	0.435991	0.160864	0.726172	-193.811296	2771.368134	72.998015	8.476381	20.546392	30.187107	28.750824	30.901305	29.226991	30.413207	-2.905767	1.484167	0.842672	203243.738729	-0.191253	0.003098	0.641442	0.532103	2.040535	-0.124396	-0.124383	0.000000	1.563863	0.450976	0.200596	nan	0.420873	0.574654	1.645958	-114.006645	156.751306	0.000000	42.940009	83.815898
806.200000	7.837963	7.868811	0.440377	0.160773	0.727163	-191.742212	2771.137352	74.230560	8.478932	20.511973	30.185786	28.749397	30.900654	29.227886	30.416509	-2.905716	1.484040	0.842855	203557.725586	-0.188751	0.003427	0.641937	0.531674	2.040486	-0.124393	-0.124384	0.000000	1.562365	0.449219	0.200404	nan	0.419234	0.577658	1.650991	-112.789536	156.751306	0.000000	43.665035	83.815898
806.400000	7.838320	7.868423	0.442926	0.160483	0.731547	-196.635956	2770.985280	76.317544	8.481494	20.507606	30.187285	28.748474	30.896685	29.230790	30.415027	-2.905770	1.483819	0.842074	203773.255188	-0.185608	0.003455	0.643774	0.532138	2.041375	-0.124391	-0.124386	0.000000	1.562175	0.448793	0.200380	nan	0.418836	0.579718	1.653935	-115.668209	156.751306	0.000000	44.892673	83.815898
806.600000	7.838156	7.868170	0.442471	0.160723	0.735857	-190.431314	2770.989571	77.579094	8.484044	20.516080	30.191825	28.748663	30.890565	29.232126	30.412200	-2.905891	1.483871	0.841436	203872.952612	-0.186372	0.003219	0.633181	0.532791	2.041717	-0.124390	-0.124387	0.000000	1.562544	0.449463	0.200427	nan	0.419461	0.580670	1.653447	-112.018420	156.751306	0.000000	45.634761	83.815898
