***Resultados da Análise***
Data do teste experimental: 2025/02/25
Data tratamento: 13/05/2025
Arquivo Original: example/ID4
Coluna Critério: J Ar
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 100.0 segundos
Tamanho Ótimo da Janela: 100.0 segundos
Média da Janela: 10.0250
Desvio Padrão: 0.2196
Tempo Inicial: 143.20 segundos
Tempo Final: 243.20 segundos
Número de Pontos: 501
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
146.400000	7.618487	7.649025	0.319500	0.168570	0.593588	-351.868044	2703.555289	-116.666555	7.521360	20.514559	30.155060	28.326685	30.975552	29.082721	30.569877	-2.904959	1.483914	0.841100	207079.639691	-0.185507	11.312130	-0.022259	0.000000	2.044474	-0.124345	-0.124341	0.000000	1.562478	10.191684	0.200418	nan
146.600000	7.618271	7.648521	0.315595	0.168079	0.595641	-307.280343	2703.688158	-106.334294	7.520155	20.540011	30.158337	28.326963	30.968829	29.082012	30.568403	-2.904960	1.484029	0.840973	207066.503237	-0.183901	11.312013	-0.022024	0.000000	2.044335	-0.124348	-0.124337	0.000000	1.563585	10.221006	0.200560	nan
146.800000	7.617858	7.648179	0.320750	0.167925	0.601744	-283.984979	2703.758112	-97.087483	7.518505	20.547526	30.161022	28.330818	30.965752	29.082656	30.569925	-2.904835	1.484263	0.840746	207204.321083	-0.184053	11.312036	-0.021943	0.000000	2.044186	-0.124352	-0.124336	0.000000	1.563912	10.180481	0.200602	nan
147.000000	7.617658	7.648007	0.333710	0.167434	0.611088	-307.730862	2703.707520	-87.110297	7.517090	20.538521	30.159756	28.331838	30.967398	29.082383	30.574218	-2.904826	1.484509	0.840895	207675.086160	-0.185956	11.312307	-0.022092	0.000000	2.044269	-0.124351	-0.124334	0.000000	1.563521	10.081583	0.200552	nan
147.200000	7.617767	7.647763	0.343372	0.166990	0.613420	-358.931084	2703.615622	-78.115048	7.516144	20.514103	30.156558	28.329299	30.968537	29.082749	30.579287	-2.904812	1.485103	0.841559	208208.495130	-0.185920	11.312788	-0.022370	0.000000	2.044226	-0.124347	-0.124332	0.000000	1.562458	10.009307	0.200416	nan
147.400000	7.617761	7.647409	0.342926	0.166989	0.614166	-383.478486	2703.523041	-72.830220	7.515019	20.478192	30.157115	28.326813	30.963042	29.084859	30.582155	-2.904769	1.485653	0.842148	208679.171449	-0.184773	11.313192	-0.022590	0.000000	2.043969	-0.124346	-0.124333	0.000000	1.560895	10.012485	0.200215	nan
147.600000	7.617405	7.646964	0.339033	0.167201	0.615354	-367.884591	2703.642749	-70.427417	7.513703	20.451011	30.163560	28.327051	30.953458	29.090131	30.578159	-2.904814	1.485354	0.842042	209216.167475	-0.184431	11.313331	-0.022590	0.000000	2.043893	-0.124343	-0.124334	0.000000	1.559710	10.040886	0.200063	nan
147.800000	7.616917	7.646632	0.343223	0.168019	0.610389	-348.883667	2703.844767	-67.563460	7.512564	20.448551	30.171561	28.328179	30.948588	29.095238	30.569124	-2.904982	1.485258	0.841429	209586.079682	-0.184961	11.313409	-0.022604	0.000000	2.043986	-0.124337	-0.124337	0.000000	1.559603	10.009038	0.200050	nan
148.000000	7.616350	7.646359	0.353206	0.169115	0.609229	-358.777522	2704.004662	-62.838844	7.511387	20.458615	30.175872	28.328814	30.946009	29.095004	30.563421	-2.905104	1.485953	0.840836	209694.979226	-0.185080	11.313734	-0.022654	0.000000	2.044307	-0.124337	-0.124341	0.000000	1.560042	9.935037	0.200106	nan
148.200000	7.615851	7.645985	0.357358	0.169539	0.614700	-379.373291	2704.174707	-57.933971	7.510040	20.463518	30.175866	28.331189	30.942118	29.092810	30.564121	-2.905081	1.486128	0.840692	209710.527716	-0.184774	11.314112	-0.022617	0.000000	2.044326	-0.124341	-0.124342	0.000000	1.560255	9.904331	0.200133	nan
148.400000	7.615769	7.645667	0.358701	0.169279	0.614549	-378.260497	2704.230229	-54.210239	7.508732	20.437323	30.173994	28.333672	30.943829	29.093698	30.567022	-2.905109	1.485371	0.840767	209692.472304	-0.184379	11.314335	-0.022633	0.000000	2.043674	-0.124342	-0.124343	0.000000	1.559114	9.894338	0.199987	nan
148.600000	7.615729	7.645571	0.364690	0.169399	0.616754	-377.787543	2704.189561	-50.250831	7.507643	20.371785	30.171775	28.332375	30.949115	29.096264	30.567922	-2.905144	1.485399	0.840857	209705.895511	-0.184077	11.314706	-0.022585	0.000000	2.043591	-0.124341	-0.124344	0.000000	1.556255	9.851328	0.199620	nan
148.800000	7.615411	7.645555	0.369112	0.169886	0.628553	-417.171843	2704.207492	-45.029652	7.506415	20.319399	30.169803	28.329670	30.952593	29.098564	30.565080	-2.905048	1.486183	0.840935	209790.109223	-0.183804	11.315049	-0.022485	0.000000	2.044727	-0.124342	-0.124345	0.000000	1.553967	9.819980	0.199327	nan
149.000000	7.614638	7.645189	0.371613	0.169681	0.636414	-465.356033	2704.313040	-41.023633	7.504947	20.310348	30.168369	28.328944	30.953852	29.099391	30.560320	-2.905012	1.485612	0.840838	209855.168383	-0.183478	11.315008	-0.022462	0.000000	2.045804	-0.124342	-0.124348	0.000000	1.553571	9.801683	0.199276	nan
149.200000	7.614000	7.644675	0.380380	0.169431	0.642606	-461.063942	2704.383228	-40.174300	7.503636	20.309714	30.166000	28.329240	30.953790	29.094056	30.558140	-2.904987	1.484860	0.840859	209842.318571	-0.183523	11.314909	-0.022245	0.000000	2.045806	-0.124340	-0.124350	0.000000	1.553543	9.738734	0.199272	nan
149.400000	7.614347	7.644621	0.389392	0.169171	0.656366	-412.398039	2704.364501	-40.591926	7.502412	20.296604	30.162081	28.329377	30.960588	29.083604	30.560560	-2.904883	1.485067	0.840985	209826.083723	-0.183841	11.315056	-0.021961	0.000000	2.045109	-0.124347	-0.124345	0.000000	1.552970	9.675819	0.199199	nan
149.600000	7.614683	7.644703	0.389701	0.168169	0.667819	-368.113491	2704.292007	-40.296190	7.501085	20.270127	30.158100	28.329160	30.970944	29.077360	30.567466	-2.904855	1.484664	0.841004	209833.834204	-0.183735	11.315383	-0.021936	0.000000	2.044381	-0.124350	-0.124335	0.000000	1.551812	9.674372	0.199050	nan
149.800000	7.614358	7.644391	0.384391	0.167341	0.677715	-343.144867	2704.171712	-39.851013	7.499751	20.230310	30.156236	28.328409	30.972281	29.079459	30.574991	-2.904887	1.483513	0.841091	209819.586257	-0.184021	11.315578	-0.022106	0.000000	2.043730	-0.124343	-0.124333	0.000000	1.550070	9.711381	0.198827	nan
150.000000	7.613974	7.644036	0.380772	0.167466	0.690330	-351.150631	2704.169072	-45.824388	7.498520	20.200897	30.157977	28.328906	30.967008	29.084187	30.578878	-2.904882	1.482732	0.841459	209815.278390	-0.184476	11.315526	-0.022405	0.000000	2.043883	-0.124341	-0.124336	0.000000	1.548782	9.736212	0.198662	nan
150.200000	7.613720	7.643893	0.381239	0.168048	0.693771	-402.141546	2704.264344	-65.572289	7.497336	20.196740	30.159696	28.331118	30.965915	29.086560	30.579851	-2.904766	1.483263	0.841741	209819.635911	-0.184341	11.315574	-0.022762	0.000000	2.044980	-0.124344	-0.124336	0.000000	1.548599	9.732691	0.198638	nan
150.400000	7.613441	7.643642	0.382578	0.168297	0.691182	-512.810860	2704.246399	-129.546516	7.496114	20.205921	30.158442	28.330968	30.969579	29.086768	30.578906	-2.904696	1.484069	0.841415	209732.659067	-0.184741	11.315700	-0.022946	0.000000	2.045175	-0.124344	-0.124333	0.000000	1.549002	9.723208	0.198690	nan
150.600000	7.612912	7.643204	0.380531	0.168222	0.690667	-775.062761	2704.133775	-326.738153	7.494869	20.213574	30.158013	28.328175	30.974511	29.085438	30.577640	-2.904816	1.483865	0.841179	209591.008712	-0.184936	11.315918	-0.022832	0.000000	2.044055	-0.124343	-0.124334	0.000000	1.549337	9.737571	0.198733	nan
150.800000	7.612478	7.642741	0.372761	0.168361	0.684612	-1168.757400	2704.048975	-704.902728	7.493703	20.199048	30.162345	28.327190	30.977919	29.085043	30.576905	-2.905023	1.484154	0.841511	209500.805860	-0.185164	11.316360	-0.022803	0.000000	2.042948	-0.124341	-0.124338	0.000000	1.548701	9.792707	0.198651	nan
151.000000	7.612299	7.642043	0.363950	0.168611	0.673500	-1463.288615	2704.102332	-1119.668433	7.492474	20.163883	30.169721	28.327803	30.973684	29.087441	30.572511	-2.905253	1.485222	0.841489	209410.742521	-0.184793	11.316688	-0.023008	0.000000	2.042737	-0.124339	-0.124341	0.000000	1.547159	9.855322	0.198453	nan
151.200000	7.611930	7.641387	0.359103	0.168636	0.663241	-1503.741980	2704.276740	-1345.509077	7.491026	20.140213	30.176249	28.328619	30.966948	29.091793	30.563590	-2.905433	1.485202	0.841064	209281.207341	-0.184190	11.317124	-0.022995	0.000000	2.043345	-0.124337	-0.124342	0.000000	1.546121	9.889862	0.198320	nan
151.400000	7.611379	7.641429	0.354826	0.168805	0.647889	-1354.369667	2704.506334	-1328.703565	7.489678	20.132957	30.177567	28.331546	30.968855	29.094936	30.556802	-2.905522	1.484364	0.840830	208491.231550	-0.185208	11.317901	-0.022784	0.000000	2.044032	-0.124336	-0.124346	0.000000	1.545803	9.921787	0.198279	nan
151.600000	7.610575	7.641778	0.346083	0.169240	0.629257	-1141.028685	2704.529136	-1180.599078	7.488582	20.130058	30.172035	28.332176	30.979771	29.095508	30.557859	-2.905518	1.484522	0.840846	206803.302892	-0.184436	11.318436	-0.022659	0.000000	2.044519	-0.124337	-0.124348	0.000000	1.545676	9.987468	0.198263	nan
151.800000	7.609791	7.641886	0.335926	0.169629	0.618803	-931.476065	2704.213513	-1008.901623	7.487400	20.129207	30.165400	28.327045	30.991612	29.096255	30.563974	-2.905400	1.485214	0.840917	205509.020684	-0.183159	11.318486	-0.022571	0.000000	2.044875	-0.124339	-0.124346	0.000000	1.545638	10.064172	0.198258	nan
152.000000	7.609774	7.641749	0.331657	0.169509	0.608032	-764.086462	2703.926281	-854.729757	7.486094	20.161462	30.163010	28.324237	30.996751	29.095112	30.566755	-2.905153	1.484723	0.840762	205055.936548	-0.185954	11.318250	-0.022682	0.000000	2.044986	-0.124345	-0.124345	0.000000	1.547053	10.096340	0.198440	nan
152.200000	7.610224	7.641382	0.332765	0.168838	0.592704	-660.916771	2703.896808	-721.469000	7.485000	20.239231	30.165344	28.327418	30.994646	29.091348	30.564963	-2.905015	1.483851	0.840980	204858.276193	-0.187332	11.317986	-0.022904	0.000000	2.044842	-0.124348	-0.124347	0.000000	1.550460	10.087100	0.198877	nan
152.400000	7.610195	7.640960	0.333597	0.168514	0.585978	-598.907723	2703.986640	-608.286664	7.483984	20.295826	30.167867	28.330093	30.990908	29.089090	30.561942	-2.905055	1.483731	0.841611	204627.951165	-0.184537	11.318014	-0.022832	0.000000	2.044569	-0.124346	-0.124348	0.000000	1.552936	10.080122	0.199194	nan
152.600000	7.609624	7.640688	0.328011	0.168910	0.581440	-539.419476	2703.974318	-515.144453	7.482770	20.299123	30.164417	28.329983	30.989801	29.086292	30.561047	-2.904992	1.483355	0.841556	204270.156682	-0.183870	11.318363	-0.022574	0.000000	2.044376	-0.124346	-0.124347	0.000000	1.553080	10.122501	0.199213	nan
152.800000	7.609288	7.640510	0.317251	0.168961	0.576001	-452.870029	2703.854136	-439.818435	7.481374	20.281802	30.156044	28.330498	30.991192	29.080186	30.567646	-2.904912	1.483270	0.840963	204171.146591	-0.185231	11.318826	-0.022402	0.000000	2.044433	-0.124349	-0.124342	0.000000	1.552323	10.205455	0.199116	nan
153.000000	7.609659	7.640263	0.310792	0.168001	0.580448	-356.074285	2703.609575	-378.729540	7.479876	20.272966	30.151492	28.330628	30.993240	29.075461	30.578642	-2.904911	1.484474	0.840866	204622.291363	-0.184030	11.319363	-0.022370	0.000000	2.044396	-0.124351	-0.124337	0.000000	1.551937	10.256017	0.199066	nan
153.200000	7.610311	7.639781	0.309514	0.167183	0.583930	-303.310559	2703.340769	-329.328030	7.478584	20.307803	30.153855	28.328822	30.992172	29.077981	30.584267	-2.904798	1.485231	0.841123	205197.483555	-0.182380	11.319728	-0.022476	0.000000	2.043926	-0.124351	-0.124331	0.000000	1.553460	10.265809	0.199262	nan
153.400000	7.610483	7.639224	0.308823	0.167251	0.580918	-293.252002	2703.300839	-290.478666	7.477497	20.387603	30.158097	28.327648	30.986350	29.085802	30.581052	-2.904779	1.484822	0.841218	205717.319447	-0.184336	11.319771	-0.022553	0.000000	2.043895	-0.124346	-0.124331	0.000000	1.556945	10.270454	0.199709	nan
153.600000	7.609995	7.638836	0.305278	0.167558	0.584382	-291.840775	2703.350664	-259.028367	7.476315	20.440394	30.162802	28.327046	30.978188	29.090067	30.574112	-2.905020	1.484508	0.841603	206336.981453	-0.187164	11.320041	-0.022497	0.000000	2.044577	-0.124341	-0.124336	0.000000	1.559248	10.297884	0.200004	nan
153.800000	7.609275	7.638520	0.298965	0.167508	0.586573	-268.282279	2703.442560	-231.663206	7.475059	20.437745	30.167823	28.326670	30.965705	29.088418	30.571271	-2.905110	1.484412	0.842322	206756.708831	-0.186058	11.320716	-0.022336	0.000000	2.044628	-0.124341	-0.124342	0.000000	1.559132	10.347771	0.199989	nan
154.000000	7.608652	7.638294	0.297588	0.167543	0.580739	-230.625211	2703.553234	-205.858050	7.473733	20.425244	30.170937	28.327052	30.956278	29.084979	30.572758	-2.904987	1.484651	0.842568	206950.947417	-0.183721	11.321403	-0.022287	0.000000	2.044113	-0.124341	-0.124343	0.000000	1.558587	10.358774	0.199919	nan
154.200000	7.608210	7.638411	0.302917	0.167985	0.580933	-227.436402	2703.556302	-179.580224	7.472427	20.437169	30.171666	28.327598	30.957014	29.084999	30.573476	-2.904915	1.485280	0.842208	207160.404752	-0.185445	11.321858	-0.022551	0.000000	2.043757	-0.124341	-0.124341	0.000000	1.559107	10.316956	0.199986	nan
154.400000	7.608128	7.638483	0.307468	0.168916	0.580981	-253.236569	2703.590242	-154.522538	7.471279	20.492778	30.172441	28.328625	30.955024	29.093279	30.571636	-2.905082	1.485762	0.841707	207222.046997	-0.187393	11.321961	-0.022750	0.000000	2.043465	-0.124339	-0.124339	0.000000	1.561530	10.281109	0.200297	nan
