X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa_mA	PDT-M-0101B-10kPa_mA	PDT-M-0101C-3kPa_mA	PDT-M-0101D-30Kpa_mA	PDT-M-0101D-30Kpa_mA_tara	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Agua	Comment	Alpha	rho_g	dP_F/dz PDT-M-0101-40kPa_mA	dP_F/dz dP_dz_total_PDT-M-0101-40kPa_mA	dP_F/dz dP_dz_gravitacional	dP_F/dz PDT-M-0101D-30Kpa_mA	dP_F/dz dP_dz_total_PDT-M-0101D-30Kpa_mA
151.200000	7.812604	7.844522	1.032272	0.090666	2.969302	-13941.367452	-10942.064606	-2985.717120	-13100.732282	-13547.834829	8.152047	951.689534	23.107512	22.817976	25.512209	23.383658	22.986528	-2.909736	0.846385	0.978265	199038.131473	-0.189649	11.545241	-0.061864	0.000000	2.035975	-0.124455	-0.124454	14.011880	-0.014027	6.909704	1.795498	nan	0.533954	2.372059	4517.131345	-1204.482292	3231.644669	4264.835518	-957.770460
151.400000	7.812733	7.844201	1.034163	0.090350	2.953014	-13936.784755	-10942.600156	-2985.342732	-13104.493970	-13551.596517	8.155005	952.771489	23.107833	22.818175	25.511453	23.378450	22.990405	-2.909822	0.847324	0.978412	199037.391093	-0.188650	11.545400	-0.061819	0.000000	2.033749	-0.124455	-0.124448	14.021039	-0.014095	6.903098	1.796664	nan	0.533946	2.374274	4514.493062	-1204.482292	3231.703461	4267.107068	-957.770460
151.600000	7.812863	7.843679	1.037175	0.090692	2.945272	-13935.398075	-10943.654656	-2984.778586	-13105.626934	-13552.729480	8.157986	952.132423	23.110856	22.820339	25.502363	23.380458	22.989200	-2.910173	0.848213	0.978773	199008.115866	-0.188177	11.545258	-0.062054	0.000000	2.032537	-0.124453	-0.124450	14.015754	-0.014180	6.892129	1.795976	nan	0.533660	2.377864	4515.657124	-1204.482292	3233.699696	4269.769752	-957.770460
151.800000	7.812685	7.843535	1.040503	0.090983	2.949056	-13932.294553	-10944.048302	-2984.861693	-13099.225249	-13546.327796	8.161261	950.793369	23.109220	22.823066	25.496383	23.383961	22.986823	-2.910168	0.848052	0.978537	198966.523135	-0.188796	11.545188	-0.062324	0.000000	2.034305	-0.124452	-0.124455	14.004591	-0.014272	6.880523	1.794532	nan	0.533253	2.381799	4516.647141	-1204.482292	3236.526151	4268.830511	-957.770460
152.000000	7.812286	7.843688	1.044012	0.090988	2.965713	-13942.478945	-10943.738149	-2985.270866	-13100.392082	-13547.494629	8.164668	950.388326	23.101412	22.824055	25.503396	23.383356	22.991569	-2.909842	0.848293	0.977885	198951.003242	-0.188782	11.545185	-0.062188	0.000000	2.036393	-0.124453	-0.124455	14.001500	-0.014588	6.868961	1.794095	nan	0.533101	2.385841	4523.707174	-1204.482292	3237.582656	4270.573388	-957.770460
152.200000	7.811988	7.843562	1.046786	0.090982	2.988731	-13971.238132	-10942.237490	-2985.662690	-13123.237915	-13570.340462	8.167916	951.354644	23.091713	22.820773	25.515541	23.379042	23.000119	-2.909771	0.848966	0.977924	198948.018763	-0.188321	11.545076	-0.061642	0.000000	2.036520	-0.124455	-0.124450	14.009961	-0.014924	6.859841	1.795137	nan	0.533072	2.388984	4540.849141	-1204.482292	3237.785435	4284.214892	-957.770460
152.400000	7.812225	7.842926	1.044627	0.090826	3.000750	-14009.566354	-10941.063892	-2985.697549	-13160.751974	-13607.854521	8.170965	953.538091	23.084768	22.816937	25.518986	23.374266	23.005090	-2.909683	0.848829	0.977980	198953.172360	-0.188265	11.545220	-0.061487	0.000000	2.034876	-0.124456	-0.124447	14.028528	-0.015145	6.866851	1.797490	nan	0.533123	2.386434	4563.041214	-1204.482292	3237.425247	4305.921798	-957.770460
152.600000	7.812608	7.842265	1.037367	0.090094	2.990957	-14048.245830	-10941.358073	-2985.471628	-13197.164902	-13644.267448	8.173914	954.143354	23.084717	22.816914	25.511167	23.371192	23.004311	-2.909510	0.846936	0.978000	198989.405196	-0.189101	11.545568	-0.062021	0.000000	2.033111	-0.124458	-0.124447	14.033732	-0.015267	6.890846	1.798142	nan	0.533477	2.378018	4583.309837	-1204.482292	3234.955416	4324.871336	-957.770460
152.800000	7.812336	7.841720	1.032012	0.089348	2.965753	-14072.239101	-10942.510360	-2985.455888	-13223.372778	-13670.475325	8.176870	952.200784	23.092037	22.819710	25.503744	23.371475	22.998671	-2.909633	0.845811	0.978205	199056.476495	-0.189928	11.545839	-0.062285	0.000000	2.032223	-0.124459	-0.124450	14.017185	-0.015036	6.908513	1.796049	nan	0.534133	2.371823	4592.867971	-1204.482292	3230.413318	4335.745636	-957.770460
153.000000	7.811688	7.841199	1.032959	0.089260	2.941918	-14075.687911	-10943.394522	-2985.413890	-13235.101368	-13682.203915	8.180073	950.503354	23.099307	22.822122	25.503981	23.375185	22.995192	-2.909864	0.846368	0.978336	199109.977424	-0.189261	11.546270	-0.061979	0.000000	2.031918	-0.124458	-0.124449	14.002634	-0.014754	6.905089	1.794219	nan	0.534656	2.372927	4591.292273	-1204.482292	3226.808479	4339.039967	-957.770460
153.200000	7.811176	7.841015	1.038405	0.089768	2.932009	-14065.178321	-10942.932914	-2985.255314	-13232.350367	-13679.452914	8.183652	950.214630	23.098263	22.822459	25.507200	23.376891	23.000835	-2.909753	0.846635	0.978828	199115.027587	-0.188258	11.547037	-0.061680	0.000000	2.031801	-0.124453	-0.124445	14.000497	-0.015045	6.887009	1.793908	nan	0.534705	2.379262	4584.796186	-1204.482292	3226.488669	4337.101921	-957.770460
153.400000	7.811053	7.841171	1.044084	0.090026	2.945043	-14035.169156	-10942.026973	-2985.304248	-13215.358696	-13662.461243	8.187171	949.519683	23.092080	22.821486	25.507942	23.376068	23.009956	-2.909488	0.847001	0.979184	199110.356685	-0.188332	11.547885	-0.061510	0.000000	2.031362	-0.124450	-0.124449	13.995139	-0.015533	6.868529	1.793158	nan	0.534660	2.385889	4567.484045	-1204.482292	3226.827632	4327.445784	-957.770460
153.600000	7.811023	7.841107	1.045455	0.088901	2.974527	-13994.257941	-10941.922316	-2985.290665	-13182.792679	-13629.895225	8.190225	948.451878	23.091396	22.820169	25.507002	23.379702	23.013600	-2.909568	0.848443	0.978966	199121.543875	-0.188508	11.548168	-0.061392	0.000000	2.030373	-0.124449	-0.124453	13.986161	-0.015540	6.864052	1.792005	nan	0.534769	2.387498	4542.669220	-1204.482292	3226.079932	4307.541603	-957.770460
