***Resultados da Análise***
Data do teste experimental: 2025/02/25
Data tratamento: 16/05/2025
Arquivo Original: example/ID4
Coluna Critério: J Água
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 150.0 segundos
Tamanho Ótimo da Janela: 100.0 segundos
Média da Janela: 0.2000
Desvio Padrão: 0.0007
Tempo Inicial: 171.20 segundos
Tempo Final: 271.20 segundos
Número de Pontos: 501
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
174.400000	7.581115	7.612059	0.312144	0.169870	0.533586	-384.634743	2706.359770	-63.642318	7.347583	20.516655	30.157173	28.329180	30.881171	29.086374	30.568296	-2.904911	1.484382	0.841624	210215.963578	-0.187602	11.328312	-0.022056	0.000000	2.045266	-0.124350	-0.124347	0.000000	1.562569	10.216272	0.200430	nan
174.600000	7.581153	7.611634	0.320603	0.169305	0.552445	-372.396068	2706.370096	-8.226036	7.346229	20.509816	30.154675	28.329207	30.883768	29.078826	30.576793	-2.904878	1.484547	0.841341	209411.590473	-0.186726	11.328252	-0.022080	0.000000	2.044328	-0.124350	-0.124339	0.000000	1.562272	10.150337	0.200392	nan
174.800000	7.581398	7.611208	0.327734	0.167720	0.568631	-374.782207	2706.330256	35.778334	7.344814	20.516329	30.153982	28.328378	30.886551	29.077751	30.584371	-2.904886	1.485362	0.841557	208817.114734	-0.183596	11.328550	-0.022223	0.000000	2.043784	-0.124349	-0.124333	0.000000	1.562555	10.095692	0.200428	nan
175.000000	7.581381	7.610697	0.334019	0.166962	0.595692	-387.166431	2706.275950	61.015676	7.343525	20.527059	30.155473	28.327937	30.879223	29.084102	30.587367	-2.904929	1.485245	0.842135	208560.540516	-0.182027	11.328995	-0.022383	0.000000	2.043793	-0.124347	-0.124336	0.000000	1.563022	10.047675	0.200488	nan
175.200000	7.581275	7.610274	0.340480	0.167569	0.621736	-401.701853	2706.323567	72.856359	7.342488	20.531641	30.159892	28.329445	30.869131	29.090624	30.585768	-2.904904	1.483905	0.842056	208392.859173	-0.185016	11.329311	-0.022482	0.000000	2.044168	-0.124342	-0.124341	0.000000	1.563221	9.998631	0.200514	nan
175.400000	7.581142	7.609831	0.347273	0.168280	0.639316	-412.237315	2706.440701	79.239548	7.341447	20.527707	30.161835	28.331780	30.869790	29.092115	30.581571	-2.904831	1.483694	0.841848	208229.254980	-0.188888	11.329682	-0.022596	0.000000	2.044572	-0.124342	-0.124339	0.000000	1.563050	9.947960	0.200492	nan
175.600000	7.580660	7.609401	0.353568	0.168784	0.660337	-418.999237	2706.415049	83.073299	7.340284	20.510368	30.159890	28.330981	30.874790	29.088973	30.578722	-2.904751	1.484940	0.842017	207939.886031	-0.187867	11.330262	-0.022463	0.000000	2.044334	-0.124346	-0.124336	0.000000	1.562296	9.901878	0.200395	nan
175.800000	7.580348	7.609180	0.357528	0.168615	0.676276	-419.705041	2706.259410	83.627490	7.338965	20.476397	30.161122	28.328095	30.871111	29.085648	30.578940	-2.904737	1.484716	0.842227	207759.518026	-0.183881	11.330771	-0.022192	0.000000	2.043247	-0.124344	-0.124338	0.000000	1.560816	9.873150	0.200205	nan
176.000000	7.580292	7.609182	0.360718	0.167925	0.681536	-410.642709	2706.313605	80.823223	7.337598	20.443704	30.167769	28.327534	30.864693	29.088024	30.578580	-2.904921	1.483782	0.842372	208069.090768	-0.182057	11.331232	-0.022488	0.000000	2.042712	-0.124335	-0.124338	0.000000	1.559392	9.850206	0.200023	nan
176.200000	7.580072	7.609135	0.365431	0.168052	0.688035	-401.372615	2706.529542	76.179736	7.336475	20.429978	30.176172	28.330430	30.861007	29.095133	30.575101	-2.905173	1.484420	0.842314	208601.863608	-0.184201	11.331592	-0.022947	0.000000	2.043367	-0.124333	-0.124338	0.000000	1.558794	9.816235	0.199946	nan
