***Resultados da Análise***
Data do teste experimental: 2025/05/14
Data tratamento: 23/05/2025
Arquivo Original: example/FSC2_Agua_Ar_Downward_45_graus/ID15
Coluna Critério: Densitometro
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 200.0 segundos
Tamanho Ótimo da Janela: 103.0 segundos
Média da Janela: 155742.7476
Desvio Padrão: 14.9659
Tempo Inicial: 200.20 segundos
Tempo Final: 302.60 segundos
Número de Pontos: 513
***Estatísticas das variáveis na janela***
Variável: Média | Desvio padrão | Incerteza tipo A
PIT-M-0101: 0.410660 | 0.004145 | 0.000183
PDT-M-0101-40kPa_mA: -1932.383181 | 43.135564 | 1.904482
PDT-M-0101B-10kPa_mA: -2233.559877 | 43.799378 | 1.933790
PDT-M-0101C-3kPa_mA: -1779.766319 | 38.957137 | 1.720000
PDT-M-0101D-30Kpa_mA: -1379.170337 | 40.188354 | 1.774359
PDT-M-0101D-30Kpa_mA_tara: -1826.272884 | 40.188354 | 1.774359
TIT-M-0101: 25.127499 | 0.005336 | 0.000236
Densitometro: 155742.747588 | 14.965867 | 0.660759
J Ar: 3.167244 | 0.009270 | 0.000409
J Água: 1.800324 | 0.004862 | 0.000215
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa_mA	PDT-M-0101B-10kPa_mA	PDT-M-0101C-3kPa_mA	PDT-M-0101D-30Kpa_mA	PDT-M-0101D-30Kpa_mA_tara	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
202.600000	7.416596	7.446890	0.413524	0.074377	1.922859	-1954.070906	-2256.669654	-1796.734502	-1390.890653	-1837.993199	9.322030	946.891441	19.788848	21.707426	25.114163	21.699388	22.615981	-2.910944	0.825217	0.970753	155733.368902	-0.200954	3.838276	-0.073644	0.000000	2.029945	-0.124488	-0.124490	13.973663	-0.016181	3.162387	1.790320	nan
202.800000	7.416106	7.446993	0.412923	0.074282	1.924469	-1943.222929	-2250.861565	-1794.778311	-1388.035493	-1835.138040	9.324519	948.845843	19.781579	21.706527	25.129353	21.699215	22.619538	-2.910637	0.824135	0.970727	155751.989600	-0.200996	3.838313	-0.073047	0.000000	2.030428	-0.124489	-0.124489	13.989942	-0.016006	3.163974	1.792431	nan
203.000000	7.416676	7.446930	0.413620	0.073857	1.925809	-1943.974587	-2242.523589	-1791.852889	-1390.237331	-1837.339878	9.326912	949.693997	19.776943	21.702041	25.138062	21.697104	22.619811	-2.910521	0.822134	0.971297	155747.923004	-0.201525	3.838342	-0.072742	0.000000	2.029414	-0.124492	-0.124488	13.996912	-0.015839	3.162555	1.793346	nan
203.200000	7.417579	7.446598	0.414998	0.073721	1.925309	-1941.923817	-2231.030671	-1784.134812	-1385.907987	-1833.010534	9.329527	947.876511	19.780824	21.700232	25.132188	21.695008	22.618939	-2.910610	0.820942	0.971134	155738.042829	-0.202260	3.838191	-0.072826	0.000000	2.028295	-0.124494	-0.124489	13.981465	-0.015688	3.159182	1.791384	nan
203.400000	7.417517	7.446477	0.414799	0.073821	1.923687	-1925.618363	-2219.434360	-1773.183818	-1371.946106	-1819.048652	9.332131	946.160774	19.789630	21.703040	25.119993	21.696906	22.614748	-2.910869	0.821820	0.970801	155742.417113	-0.201786	3.838129	-0.073016	0.000000	2.028019	-0.124492	-0.124491	13.966975	-0.015649	3.159369	1.789530	nan
203.600000	7.416802	7.446554	0.412354	0.073811	1.922233	-1900.806981	-2202.761198	-1760.421295	-1352.505111	-1799.607658	9.334593	945.848159	19.793351	21.705933	25.115317	21.700867	22.609749	-2.910983	0.822351	0.971115	155752.076561	-0.201096	3.838369	-0.073233	0.000000	2.028338	-0.124490	-0.124489	13.964646	-0.015954	3.164987	1.789192	nan
203.800000	7.416542	7.446504	0.408842	0.074376	1.921034	-1879.666796	-2176.595211	-1743.282724	-1331.112531	-1778.215078	9.337230	946.909244	19.786652	21.705823	25.120501	21.699154	22.614385	-2.910754	0.820713	0.971432	155758.778916	-0.201734	3.838640	-0.073243	0.000000	2.029308	-0.124491	-0.124487	13.974039	-0.016408	3.173143	1.790339	nan
204.000000	7.416769	7.446505	0.405914	0.075043	1.923088	-1874.677792	-2163.691622	-1728.359799	-1320.945993	-1768.048539	9.339831	948.237304	19.778246	21.704561	25.126713	21.693697	22.623449	-2.910573	0.819497	0.971449	155758.929267	-0.201895	3.838718	-0.073058	0.000000	2.030234	-0.124490	-0.124483	13.985384	-0.016570	3.179899	1.791774	nan
204.200000	7.416753	7.446509	0.405559	0.074457	1.925983	-1887.507662	-2179.213161	-1727.972645	-1330.672662	-1777.775209	9.342357	947.657988	19.777734	21.704575	25.130542	21.694766	22.625362	-2.910692	0.819206	0.971240	155767.510898	-0.200690	3.838781	-0.073146	0.000000	2.029932	-0.124487	-0.124481	13.980319	-0.016382	3.180796	1.791148	nan
204.400000	7.416486	7.446483	0.406170	0.073738	1.926972	-1909.142733	-2207.339786	-1742.892455	-1350.381876	-1797.484423	9.345016	946.334926	19.783403	21.705226	25.130984	21.701060	22.620039	-2.910880	0.818305	0.971270	155781.010276	-0.200626	3.838793	-0.073396	0.000000	2.029264	-0.124488	-0.124486	13.968809	-0.016016	3.179411	1.789719	nan
204.600000	7.416100	7.446672	0.404801	0.074333	1.925065	-1930.392817	-2234.584766	-1764.981615	-1372.264798	-1819.367345	9.347620	946.863562	19.787777	21.705109	25.128394	21.704042	22.612807	-2.911014	0.816825	0.971856	155769.237646	-0.202055	3.838478	-0.073366	0.000000	2.029559	-0.124493	-0.124491	13.972965	-0.015718	3.182295	1.790290	nan
